"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2016","18,161.19","18,197.14","18,275.04","18,062.30","449.46M","0.09%"
"Oct 16, 2016","18,145.71","18,135.85","18,252.20","18,049.77","445.46M","0.04%"
"Oct 09, 2016","18,138.38","18,282.95","18,399.96","17,959.95","403.16M","-0.56%"
"Oct 02, 2016","18,240.49","18,279.60","18,319.73","18,116.26","385.75M","-0.37%"
"Sep 25, 2016","18,308.15","18,217.76","18,369.62","18,052.16","508.65M","0.26%"
"Sep 18, 2016","18,261.45","18,154.82","18,449.88","18,093.05","404.85M","0.76%"
"Sep 11, 2016","18,123.80","18,028.95","18,358.69","17,992.21","687.55M","0.21%"
"Sep 04, 2016","18,085.45","18,493.40","18,551.54","18,085.45","351.02M","-2.20%"
"Aug 28, 2016","18,491.96","18,421.29","18,544.76","18,295.48","380.79M","0.52%"
"Aug 21, 2016","18,395.40","18,535.86","18,631.60","18,335.34","362.92M","-0.85%"
"Aug 14, 2016","18,552.57","18,588.59","18,668.44","18,468.68","364.83M","-0.13%"
"Aug 07, 2016","18,576.47","18,540.65","18,638.34","18,468.78","327.73M","0.18%"
"Jul 31, 2016","18,543.53","18,434.50","18,543.53","18,247.79","408.63M","0.60%"
"Jul 24, 2016","18,432.24","18,554.49","18,555.69","18,368.82","470.84M","-0.75%"
"Jul 17, 2016","18,570.85","18,521.55","18,622.01","18,469.67","429.12M","0.29%"
"Jul 10, 2016","18,516.55","18,161.53","18,557.43","18,161.53","462.75M","2.04%"
"Jul 03, 2016","18,146.74","17,904.45","18,166.77","17,713.45","371.71M","1.10%"
"Jun 26, 2016","17,949.37","17,355.21","18,002.38","17,063.08","572.49M","3.15%"
"Jun 19, 2016","17,400.75","17,736.87","18,011.07","17,356.34","611.07M","-1.55%"
"Jun 12, 2016","17,675.16","17,830.50","17,893.28","17,471.29","630.19M","-1.06%"
"Jun 05, 2016","17,865.34","17,825.69","18,016.00","17,812.34","382.10M","0.33%"
"May 29, 2016","17,807.06","17,891.50","17,899.24","17,664.79","383.76M","-0.37%"
"May 22, 2016","17,873.22","17,507.04","17,891.71","17,480.05","395.58M","2.13%"
"May 15, 2016","17,500.94","17,531.76","17,755.80","17,331.07","478.34M","-0.20%"
"May 08, 2016","17,535.32","17,743.85","17,934.61","17,512.48","423.98M","-1.16%"
"May 01, 2016","17,740.63","17,783.78","17,912.35","17,580.38","433.74M","-0.19%"
"Apr 24, 2016","17,773.64","17,990.94","18,084.66","17,651.98","523.02M","-1.28%"
"Apr 17, 2016","18,003.75","17,890.20","18,167.63","17,848.22","516.26M","0.59%"
"Apr 10, 2016","17,897.46","17,586.48","17,962.14","17,553.57","482.50M","1.82%"
"Apr 03, 2016","17,576.96","17,799.39","17,806.38","17,484.23","469.97M","-1.21%"
"Mar 27, 2016","17,792.75","17,526.08","17,811.48","17,434.27","443.44M","1.58%"
"Mar 20, 2016","17,515.73","17,589.70","17,648.94","17,399.01","348.19M","-0.49%"
"Mar 13, 2016","17,602.30","17,207.49","17,620.58","17,120.35","747.10M","2.26%"
"Mar 06, 2016","17,213.31","16,991.29","17,220.09","16,821.86","566.37M","1.21%"
"Feb 28, 2016","17,006.77","16,634.15","17,062.38","16,510.40","533.77M","2.20%"
"Feb 21, 2016","16,639.97","16,417.13","16,795.98","16,165.86","486.63M","1.51%"
"Feb 14, 2016","16,391.99","16,012.39","16,511.84","16,012.39","505.41M","2.62%"
"Feb 07, 2016","15,973.84","16,147.51","16,201.89","15,503.01","720.52M","-1.43%"
"Jan 31, 2016","16,204.97","16,453.63","16,510.98","15,960.45","653.03M","-1.59%"
"Jan 24, 2016","16,466.30","16,086.46","16,466.30","15,863.72","727.87M","2.32%"
"Jan 17, 2016","16,093.51","16,009.45","16,171.96","15,450.56","627.22M","0.66%"
"Jan 10, 2016","15,988.08","16,358.71","16,593.51","15,842.11","796.84M","-2.19%"
"Jan 03, 2016","16,346.45","17,405.48","17,405.48","16,314.57","692.14M","-6.19%"
"Dec 27, 2015","17,425.03","17,535.66","17,750.02","17,421.16","283.08M","-0.72%"
"Dec 20, 2015","17,552.17","17,154.94","17,607.92","17,116.73","339.65M","2.47%"
"Dec 13, 2015","17,128.55","17,277.11","17,796.76","17,124.31","850.10M","-0.79%"
"Dec 06, 2015","17,265.21","17,845.49","17,845.49","17,230.50","577.22M","-3.26%"
"Nov 29, 2015","17,847.63","17,802.84","17,901.58","17,425.56","626.93M","0.28%"
"Nov 22, 2015","17,798.49","17,823.61","17,868.18","17,683.51","391.21M","-0.14%"
"Nov 15, 2015","17,823.81","17,229.94","17,914.34","17,210.43","679.37M","3.35%"
"Nov 08, 2015","17,245.24","17,900.78","17,900.78","17,238.89","573.38M","-3.71%"
"Nov 01, 2015","17,910.33","17,672.62","17,977.85","17,655.02","499.38M","1.40%"
"Oct 25, 2015","17,663.54","17,649.57","17,799.96","17,540.57","587.01M","0.10%"
"Oct 18, 2015","17,646.70","17,209.43","17,679.37","17,129.19","642.71M","2.50%"
"Oct 11, 2015","17,215.97","17,082.29","17,220.02","16,887.67","560.84M","0.77%"
"Oct 04, 2015","17,084.49","16,502.10","17,110.88","16,502.10","567.82M","3.72%"
"Sep 27, 2015","16,472.37","16,313.26","16,472.77","15,942.37","655.14M","0.97%"
"Sep 20, 2015","16,314.67","16,406.10","16,578.60","16,016.36","548.77M","-0.43%"
"Sep 13, 2015","16,384.58","16,450.86","16,933.43","16,330.87","756.64M","-0.30%"
"Sep 06, 2015","16,433.09","16,109.93","16,664.65","16,109.93","469.98M","2.05%"
"Aug 30, 2015","16,102.38","16,632.02","16,632.02","15,979.95","683.30M","-3.25%"
"Aug 23, 2015","16,643.01","16,459.75","16,669.97","15,370.33","1.02B","1.11%"
"Aug 16, 2015","16,459.75","17,472.66","17,568.40","16,459.55","611.70M","-5.82%"
"Aug 09, 2015","17,477.40","17,375.18","17,629.13","17,125.81","486.50M","0.60%"
"Aug 02, 2015","17,373.38","17,696.74","17,704.76","17,279.08","467.36M","-1.79%"
"Jul 26, 2015","17,689.86","17,561.78","17,783.59","17,399.17","497.22M","0.69%"
"Jul 19, 2015","17,568.53","18,085.91","18,137.12","17,553.73","479.68M","-2.86%"
"Jul 12, 2015","18,086.45","17,787.27","18,131.61","17,787.27","435.12M","1.84%"
"Jul 05, 2015","17,760.41","17,728.08","17,797.49","17,465.68","452.12M","0.17%"
"Jun 28, 2015","17,730.11","17,936.74","17,936.74","17,576.50","412.91M","-1.21%"
